Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,230560,-230560
3,0,0,374828,-374828
4,0,0,414096,-414096
5,0,0,453866,-453866
6,2701894,766614,489655,276959
7,4965203,1447057,562460,884597
8,5144559,1530386,652820,877566
9,5308420,1609856,712336,897520
10,5961858,1916260,753330,1162930
11,6482571,2210028,818777,1391251
12,6996631,2522983,862589,1660394
13,8736212,3174105,938093,2236012
14,10413012,3999560,975349,3024211
15,10497142,4049834,1024816,3025018
16,10647353,4133483,1076415,3057068
17,10803943,4202699,1113847,3088852
18,10926117,4257977,1166838,3091139
19,11039395,4325492,1266021,3059471
20,13133071,5073451,1342808,3730643
21,13274894,5157726,1386319,3771407
22,13379044,5224592,1502833,3721759
23,13484544,5292530,1569747,3722783
24,13650898,5378146,1625046,3753100
25,13843143,5474102,1717190,3756912
26,14013253,5577114,1770590,3806524
27,14846279,5928279,1838253,4090026
28,15033269,6054908,1920429,4134479
29,15955914,6348687,1977951,4370736
30,16138368,6471411,2038243,4433168
31,16309911,6582573,2127435,4455138
32,16475899,6617195,2187187,4430008
33,16642525,6622917,2246653,4376264
34,17579135,6987262,2305786,4681476
35,17746725,7118203,2364739,4753464
36,18242107,7268105,2454317,4813788
37,19400282,7820465,2524125,5296340
38,21637990,8719486,2727613,5991873
39,21980312,8965912,2825132,6140780
40,22145672,9090456,2892587,6197869
41,22898946,9257083,2968056,6289027
42,23067994,9271958,3246035,6025923
43,23240040,9389826,3317201,6072625
44,24600734,9871523,3423690,6447833
45,24816123,10019800,3509682,6510118
46,25108057,10258395,3595709,6662686
47,25304645,10403090,3666645,6736445
48,25506017,10533249,3738310,6794939
49,26218711,10712631,3819663,6892968
50,26364563,10821528,3889982,6931546
51,27337051,11190614,3960409,7230205
52,27609289,11333640,4162500,7171140
53,27934085,11460524,4247598,7212926
54,28161023,11590238,4444094,7146144
55,29240902,12054516,4552580,7501936
56,29876402,12491577,4621820,7869757
57,30476370,12840021,4691120,8148901
58,31118312,13200456,4775105,8425351
59,31248192,13308555,4844053,8464502
60,31363436,13400620,4928001,8472619
61,31564798,13574235,4999549,8574686
62,31678800,13660286,5069314,8590972
63,32013830,13907227,5193984,8713243
64,32229448,14089488,5287558,8801930
65,32377284,14194475,5366162,8828313
66,32517912,14300909,5429562,8871347
67,32973058,14547445,5535949,9011496
68,33460923,14785798,5647096,9138702
69,33852371,15020531,5741651,9278880
70,34347523,15237967,5997019,9240948
71,34631699,15492819,6060148,9432671
72,34764405,15597751,6123246,9474505
73,34919411,15720383,6232363,9488020
74,35107405,15862369,6328081,9534288
75,35307647,16025514,6790536,9234978
76,35510177,16155155,6870539,9284616
77,36069099,16322930,7007816,9315114
78,36597629,16751742,7086449,9665293
79,37368195,17255436,7196719,10058717
80,37983428,17776130,7276503,10499627
81,38569351,18233716,7386476,10847240
82,39130251,18694717,7514486,11180231
83,39275495,18817254,7593435,11223819
84,40533175,19144282,7670280,11474002
85,40718213,19294535,8081544,11212991
86,40875709,19420021,8150447,11269574
87,41053334,19608261,8218997,11389264
88,41244405,19756878,8333828,11423050
89,42712267,19920415,8450096,11470319
90,43280696,20133309,8530745,11602564
